input,llm_results
しゃしん　を　とって　ください,Molim vas da vam podnesete snimku.
この かさを かりても いいですか。・・・ええ、いいですよ。どうぞ。,"Možete li da pomožete s ovim kaskom?... Da, sigurno je u redu. Preuzmite se."
ここに にもつを おいてもいいですか。・・・すみません、ちょっと・・・。,"Možete li da postavim tu kocku?... Što se događa, čudno."
ここで サッカーを しては いけません。,Ovdje se nogomet ne može igrati.
田中さん、お元気ですか。,"Dobro li se sviđate, Mr. Tanaka?"
わたしは今、広島にいます。,Tako sam danas u Hidžibu.
サリーさんと旅行しています。,Putujem sa Sallijom.
きのうは宮島へ行きました。,Juče posjedovalam Otoka Miyajima.
いい天気で、海がとてもきれいでした。,Dobri vjetar i mor je bio vrlo čist.
きょうは紅葉を見に行きました。,Danas ješto sam održao posjet da vidim črvene listove.
昼に紅葉のてんぷらを食べました。,Vrijeme je bilo redovito kada sam pojeo rubljive tropske obroкеu u srednji dan.
とてもおいしかったです。,Točno je bilo predivno.
田中さんは食べたことがありますか。,"Lište li se, Mr. Tanaka?"
広島でおいしいお土産を買いましたから、来週持って行きます。,"U Hidu sam kupio dobar suvenir, pa ću ga uvek nositi sljedeće tjedno."
それでは、また。さようなら。,Dođeću se vratiti. Zauvidjam. Dobrodošao.
かぞくと教会へ行こうとおもっています。,Mislim da bismo trebali iduti u kuću ili crkvu.
まだ読んでいませんから、わかりません。,"Još niste čitali, stoga ne razumem."
バリへ行くつもりです。,Planiram putovati u Bali.
松本部長と食べるよていです。,Mogu da isprobam obrok s Kiyoto-šume.
こっかいぎじどうの見学のよていです。,Točno vrijeme za obilazak velikog proizvodništva.
9時36分につくよていです。,"Prema datoteci, vrijeme za sastanak je 9 sati 36 minuta."
はがいたくて、かたいものが食べられません。,Nisam mogla/šao hranu jer je bila prehranjuća i hrana koja je bila harda mi se nije svidela.
歯が痛くて、硬いものが食べられません。,Nemažno siče začete i ne mogu konzistentno hrabriti tekuće hranе.
わたしは木村さんにけっこんしきにしょうたいされました。,Био сам поручен бракот са Мокумуци.
私は木村さんに結婚式に招待されました。,Obaveštena sam ožganstvom od strane g. Kikuchi.
夏休みに1ヶ月アルバイトをして15万円もらった。1日当たり5千円もらったことになる。,Uleti izdanje trudi se 1 mjesec na delatnosti i dobio sam 150.000 jenova. U proseku 5.000 jena dobijam danima.
彼が住みたがっているのは関東だが、私が住みたいのは関西の方だ。,"On želi stanovati u Kanto, no ja bih htela stanovati u Kansai."
この町は車がないと生活が出来ないから、どの家でも1台か2台は車がある。,"Ovaj grad ne može da se bavi bez autuma, stoga svaku kuću ima 1 ili 2 automobila."
"くだけた話し方はまだあまり慣れていないけれど、少しは話せるようになった。
 ","Nisu još uvremene u oproštajnu priču, ali postepeno nauče da to riječi."
"日本に留学中は、ホームステイの家族をはじめ色々な人にお世話になった。
 ","Tijekom studije u Jepanu, obavljala sam vjerovalni uobičajenje s obitelji host family i različitim drugim ljudima."
もうこれ以上は食べられません。,Vec ne mogu to čvrsto jejda.
